股票代码,股票名称,最新价格,涨跌幅(%),市盈率PE,市净率PB,总市值,板块类型,风险状态
600369,西南证券,4.14,0.49,24.407,1.034,27510751773,上交所主板,正常上市
600372,中航机载,11.32,0.09,47.735,1.443,54776309852,上交所主板,正常上市
600373,中文传媒,7.18,-0.55,45.403,0.541,9674035602,上交所主板,正常上市
600375,汉马科技,4.05,-0.98,103.367,1.916,6492439036,上交所主板,正常上市
600377,宁沪高速,12.02,-0.58,12.762,1.398,60553724950,上交所主板,正常上市
600378,昊华科技,49.63,3.61,40.895,3.45,64022681141,上交所主板,正常上市
600379,宝光股份,14.64,-1.08,115.719,6.14,4834150897,上交所主板,正常上市
600380,健康元,10.48,1.55,14.583,1.228,19172671485,上交所主板,正常上市
600382,广东明珠,6.35,-0.63,23.371,1.408,4409491365,上交所主板,正常上市
600383,金地集团,2.3,-1.29,-0.781,0.232,10383542216,上交所主板,正常上市
600386,北巴传媒,3.44,0.58,-237.568,1.651,2774016000,上交所主板,正常上市
600388,龙净环保,17.68,-2.32,19.17,2.001,22454418460,上交所主板,正常上市
600390,五矿资本,4.92,0.61,41.925,0.521,22130482058,上交所主板,正常上市
600392,盛和资源,23.5,-0.89,41.361,3.208,41191424395,上交所主板,正常上市
600395,盘江股份,5.01,-1.57,22.434,1.004,10754590719,上交所主板,正常上市
600396,华电辽能,17.33,0.87,630.845,16.667,25522009139,上交所主板,正常上市
600398,海澜之家,6.05,-0.33,13.328,1.509,29056760291,上交所主板,正常上市
600399,抚顺特钢,4.27,-1.39,-10.193,1.569,8420867000,上交所主板,正常上市
600400,红豆股份,3.19,0.95,-18.368,5.269,7309476208,上交所主板,正常上市
600400,红豆股份,3.19,0.95,-18.368,5.269,7309476208,上交所主板,正常上市
600403,大有能源,6.61,-1.49,-7.612,4.728,15803269977,上交所主板,正常上市
600405,动力源,4.64,2.88,-9.347,90.43,2843529288,上交所主板,正常上市
600406,国电南瑞,23.79,-1.12,22.956,3.57,191075478951,上交所主板,正常上市
600408,安泰集团,2.84,-1.73,-9.793,2.471,2859312000,上交所主板,正常上市
600410,华胜天成,15.74,-0.94,-81.125,4.005,17258826310,上交所主板,正常上市
600415,小商品城,11.73,-0.68,14.662,2.697,64322149721,上交所主板,正常上市
600416,湘电股份,9.09,0.33,60.12,1.378,13414861871,上交所主板,正常上市
600419,天润乳业,9.06,1.46,19.778,1.163,2858564160,上交所主板,正常上市
600420,国药现代,8.78,1.5,16.368,0.845,11775496236,上交所主板,正常上市
600423,*ST柳化,2.87,-1.71,-153.106,4.237,2292254725,上交所主板,*ST退市风险警示
600425,青松建化,3.59,-1.37,18.93,0.896,5760886308,上交所主板,正常上市
600426,华鲁恒升,20.97,-1.96,15.48,1.688,57666305025,上交所主板,正常上市
600428,中远海特,11.92,-1.16,17.756,1.911,32707531108,上交所主板,正常上市
600429,三元股份,4.69,0.64,-33.068,1.459,7044797715,上交所主板,正常上市
600433,冠豪高新,3.35,-1.76,-177.644,1.319,5863435431,上交所主板,正常上市
600435,北方导航,10.6,-0.56,131.784,5.519,16030992139,上交所主板,正常上市
600436,片仔癀,135.68,0.44,43.024,5.38,81858079053,上交所主板,正常上市
600439,ST瑞贝卡,1.88,-2.08,-25.207,0.845,2128132627,上交所主板,ST风险警示
600444,国机通用,13.75,-0.94,36.095,2.638,2013301565,上交所主板,正常上市
600446,金证股份,11.18,0.9,-86.178,2.976,10523370415,上交所主板,正常上市
600448,华纺股份,2.89,0.0,-6.293,1.996,1820178823,上交所主板,正常上市
600452,涪陵电力,9.45,0.32,33.633,2.527,14520318630,上交所主板,正常上市
600455,博通股份,24.24,0.37,33.211,4.425,1513981920,上交所主板,正常上市
600456,宝钛股份,27.87,-1.17,35.165,1.839,13315660012,上交所主板,正常上市
600458,时代新材,11.6,0.26,21.231,1.34,11046639632,上交所主板,正常上市
600460,士兰微,33.53,2.07,121.898,4.586,55796328963,上交所主板,正常上市
600461,洪城环境,8.94,-0.22,9.841,1.124,11575597225,上交所主板,正常上市
600463,空港股份,8.2,-1.32,-24.793,2.771,2460000000,上交所主板,正常上市
600467,好当家,2.35,1.29,97.465,0.998,3433336614,上交所主板,正常上市
600470,六国化工,5.57,-1.94,-6.059,1.907,2905312000,上交所主板,正常上市
600475,华光环能,14.59,-2.21,37.228,1.611,13947539986,上交所主板,正常上市
600477,杭萧钢构,2.48,-1.59,66.088,1.177,5850241721,上交所主板,正常上市
600478,科力远,4.94,-1.4,58.855,2.806,8367959445,上交所主板,正常上市
600479,千金药业,10.04,1.11,16.037,1.592,4941788561,上交所主板,正常上市
600480,凌云股份,8.7,-0.8,13.75,1.289,10633377780,上交所主板,正常上市
600481,双良节能,4.4,-1.79,-6.749,2.097,9082485672,上交所主板,正常上市
600482,中国动力,32.37,0.03,49.244,1.798,73423134932,上交所主板,正常上市
600483,福能股份,10.34,-1.24,10.078,1.033,28746715937,上交所主板,正常上市
600487,亨通光电,59.54,0.4,45.534,4.536,146848994982,上交所主板,正常上市
600488,津药药业,6.08,2.18,251.411,2.177,6638671014,上交所主板,正常上市
600489,XD中金黄,24.82,-1.12,19.156,3.665,120310297838,上交所主板,正常上市
600490,鹏欣资源,7.25,-0.82,70.266,2.517,16043431323,上交所主板,正常上市
600491,ST龙元,1.5,10.29,-0.789,0.33,2294636933,上交所主板,ST风险警示
600493,凤竹纺织,6.05,-0.98,268.359,1.476,1645600000,上交所主板,正常上市
600495,晋西车轴,4.27,3.64,148.997,1.573,5158975083,上交所主板,正常上市
600497,驰宏锌锗,10.27,-2.0,43.037,3.011,51764707560,上交所主板,正常上市
600498,烽火通信,40.37,2.49,131.042,3.125,54829221248,上交所主板,正常上市
600500,中化国际,5.28,-0.38,-11.685,1.858,18946257280,上交所主板,正常上市
600501,航天晨光,14.81,-0.54,-30.864,4.337,6336076402,上交所主板,正常上市
600502,安徽建工,4.48,-1.32,4.979,0.632,7690072042,上交所主板,正常上市
600503,华丽家族,2.21,-1.34,-44.324,1.026,3541060900,上交所主板,正常上市
600505,西昌电力,11.2,-0.44,298.686,3.333,4083156000,上交所主板,正常上市
600506,统一股份,14.78,-0.47,105.984,7.277,3689451795,上交所主板,正常上市
600507,方大特钢,4.23,-0.94,12.262,0.955,9784784775,上交所主板,正常上市
600508,上海能源,8.61,-1.15,45.898,0.683,8711642772,上交所主板,正常上市
